Date,Open,High,Low,Close,Volume
2024-01-01,100,105,98,103,120000
2024-01-02,103,108,101,106,150000
2024-01-03,106,110,104,109,170000
2024-01-04,109,112,107,111,180000
2024-01-05,111,115,110,114,160000
2024-01-08,114,118,113,117,175000
2024-01-09,117,120,116,119,190000
2024-01-10,119,122,118,121,200000
2024-01-11,121,125,120,124,210000
2024-01-12,124,127,123,126,220000
2024-01-15,126,129,125,128,215000
2024-01-16,128,132,127,131,225000
2024-01-17,131,134,130,133,230000
2024-01-18,133,136,132,135,240000
2024-01-19,135,138,134,137,245000
2024-01-22,137,140,136,139,250000
2024-01-23,139,142,138,141,255000
2024-01-24,141,145,140,144,260000
2024-01-25,144,147,143,146,270000
2024-01-26,146,150,145,149,280000
